dataset,model,acc,f1,backbone
ResNet50,knn3,64.19372392526755,63.88862867533085,ResNet50
ResNet50,knn5,64.30255759114819,63.74681115742787,ResNet50
ResNet50,knn7,65.898784690731,65.45828115794043,ResNet50
ResNet50,knn11,64.77417014329767,64.17737264065454,ResNet50
ResNet50,svm_rbf,86.52276437511337,86.50569597146159,ResNet50
ResNet50,svm_linear,86.75857065118811,86.72428216045182,ResNet50
ResNet50,svm_poly,63.63141665155088,62.86595101819468,ResNet50
ResNet50,svm_sigmoid,86.30509704335208,86.26277647659526,ResNet50
ResNet50,rf50,78.75929620896063,78.6450362261605,ResNet50
ResNet50,rf100,80.22855069834935,80.11087519376274,ResNet50
ResNet50,rf200,80.75458008343914,80.6435659411638,ResNet50
ResNet50,rf300,81.17177580264828,81.05701603749864,ResNet50
ResNet50,mlp1,86.93996009432252,86.89562204098151,ResNet50
ResNet50,mlp2,86.92182115000907,86.8644448344624,ResNet50
ResNet50,mlp3,86.48648648648648,86.44418591385993,ResNet50
ResNet50,mlp4,86.64973698530746,86.59573339147254,ResNet50
ResNet50,dt_inf,62.28913477235625,62.07841957101149,ResNet50
ResNet50,dt_d3,50.98857246508253,51.5378605888276,ResNet50
ResNet50,dt_d5,59.00598585162344,58.805959939961305,ResNet50
ResNet50,dt_d10,62.8877199346998,62.73449681044894,ResNet50
ViT,knn3,85.43442771630691,85.51406685665567,ViT
ViT,knn5,85.79720660257573,85.85920361891445,ViT
ViT,knn7,86.08742971159079,86.16539671479951,ViT
ViT,knn11,85.88790132414293,85.98882193653412,ViT
ViT,svm_rbf,94.21367676401232,94.2002644641073,ViT
ViT,svm_linear,92.96208960638492,92.95476397350134,ViT
ViT,svm_poly,93.34300743696716,93.3353795693109,ViT
ViT,svm_sigmoid,93.28859060402684,93.28073680301412,ViT
ViT,rf50,87.7743515327408,87.74462902066608,ViT
ViT,rf100,88.6631598040994,88.64731291359114,ViT
ViT,rf200,89.66080174133866,89.64441177583032,ViT
ViT,rf300,89.66080174133866,89.64023565647719,ViT
ViT,mlp1,94.159259931072,94.14846296549584,ViT
ViT,mlp2,93.99600943225104,93.98759277421196,ViT
ViT,mlp3,94.0685652095048,94.06622735380068,ViT
ViT,mlp4,94.1955378196989,94.18601506003496,ViT
ViT,dt_inf,71.35860692907673,71.25250857543939,ViT
ViT,dt_d3,60.5840740068928,60.63572480995213,ViT
ViT,dt_d5,65.20950480682023,65.19237110275873,ViT
ViT,dt_d10,71.43116270633048,71.35754134323786,ViT
ResNet50,ensemble,87.41157264647198,87.34250860245372,ResNet50
ViT,ensemble,94.21367676401232,94.1985588895153,ViT
